
Localização e custo total para o caso dados_grande_limpo
Resolução do Problema de Weber
Coordenadas: X = 792.91, Y = 83.39
Custo Total: CT = 172029521.20
---

Pontos de Interesse
(xi, yi)	|Qi	| Ci	| di
(144.6, 901.8)	|1.5	| 98.3	| 1044.048
(186.3, 171.3)	|4.0	| 39.8	| 612.956
(704.7, 676.7)	|2.8	| 75.9	| 599.802
(42.8, 337.2)	|0.8	| 86.9	| 791.846
(648.6, 504.3)	|1.0	| 45.4	| 444.990
(756.7, 458.7)	|4.7	| 21.7	| 377.078
(810.1, 868.2)	|1.4	| 27.6	| 785.019
(551.5, 831.6)	|4.8	| 35.3	| 786.158
(186.6, 430.1)	|4.2	| 64.7	| 698.412
(142.0, 705.7)	|1.7	| 97.1	| 900.552
(31.7, 665.6)	|3.1	| 58.6	| 958.298
(163.4, 317.4)	|3.2	| 36.6	| 671.558
(403.6, 441.9)	|2.2	| 92.1	| 529.223
(946.1, 863.7)	|4.9	| 31.1	| 795.179
(516.9, 344.8)	|4.9	| 93.0	| 380.150
(954.6, 707.4)	|4.4	| 58.4	| 644.605
(582.9, 285.7)	|2.7	| 29.8	| 291.634
(818.3, 939.6)	|2.1	| 61.9	| 856.589
(567.5, 154.9)	|2.0	| 79.9	| 236.433
(60.8, 566.1)	|2.0	| 71.2	| 876.897
(458.5, 811.6)	|2.0	| 24.8	| 801.334
(12.6, 739.9)	|4.2	| 57.7	| 1019.732
(220.4, 899.3)	|3.4	| 44.2	| 996.696
(315.8, 166.3)	|1.5	| 15.0	| 484.213
(171.3, 339.9)	|4.1	| 87.4	| 672.447
(823.8, 623.1)	|1.6	| 72.3	| 540.595
(343.0, 874.2)	|0.9	| 24.2	| 909.864
(297.1, 58.5)	|4.1	| 76.2	| 496.463
(342.6, 448.5)	|0.9	| 38.7	| 579.715
(598.8, 466.6)	|4.7	| 72.6	| 429.529
(710.0, 723.4)	|5.0	| 14.4	| 645.358
(998.1, 468.8)	|0.9	| 92.6	| 436.606
(881.2, 890.5)	|3.2	| 83.9	| 811.961
(703.6, 746.1)	|3.6	| 90.7	| 668.648
(549.6, 844.1)	|1.6	| 32.0	| 798.686
(655.5, 370.1)	|1.1	| 81.7	| 317.889
(301.7, 305.5)	|1.5	| 27.4	| 539.070
(520.9, 242.4)	|2.7	| 57.5	| 315.056
(851.6, 210.8)	|4.2	| 96.6	| 140.244
(355.6, 653.5)	|4.0	| 96.2	| 718.540
(245.3, 680.6)	|0.7	| 87.0	| 810.293
(746.8, 9.3)	|3.8	| 99.5	| 87.228
(297.6, 200.6)	|1.7	| 24.0	| 509.004
(143.4, 942.9)	|1.0	| 90.7	| 1077.283
(256.0, 756.8)	|2.4	| 49.7	| 861.277
(871.3, 851.5)	|1.2	| 78.1	| 772.090
(957.2, 809.2)	|2.2	| 93.1	| 744.155
(528.5, 300.3)	|1.4	| 18.9	| 341.980
(811.3, 657.6)	|2.8	| 14.8	| 574.486
(881.7, 30.6)	|1.2	| 89.2	| 103.270
(454.9, 643.2)	|4.9	| 63.0	| 653.915
(217.9, 580.6)	|2.9	| 14.3	| 760.212
(83.3, 489.3)	|0.6	| 98.1	| 817.544
(719.9, 507.0)	|4.2	| 73.9	| 429.894
(608.8, 295.9)	|0.6	| 79.8	| 281.186
(197.5, 965.4)	|1.1	| 45.1	| 1064.184
(26.1, 529.7)	|4.6	| 26.7	| 887.291
(449.5, 137.9)	|4.0	| 49.6	| 347.703
(271.4, 138.0)	|3.0	| 69.1	| 524.378
(507.7, 838.7)	|3.8	| 13.6	| 807.337
(731.1, 80.7)	|4.3	| 70.8	| 61.881
(576.5, 829.3)	|1.1	| 58.0	| 776.642
(454.3, 859.1)	|1.1	| 24.9	| 846.429
(291.7, 368.6)	|2.3	| 95.1	| 576.684
(647.4, 393.7)	|3.3	| 51.7	| 342.720
(840.4, 809.2)	|3.9	| 42.2	| 727.372
(652.6, 332.8)	|0.9	| 91.9	| 286.122
(15.9, 286.8)	|3.8	| 41.9	| 803.190
(925.9, 95.3)	|4.2	| 52.9	| 133.503
(572.3, 757.2)	|2.1	| 57.1	| 709.008
(160.1, 341.4)	|4.1	| 81.5	| 683.346
(821.1, 931.6)	|3.2	| 48.0	| 848.723
(55.7, 43.7)	|4.5	| 98.8	| 738.278
(179.8, 286.7)	|2.8	| 51.3	| 645.908
(930.0, 7.3)	|0.5	| 24.3	| 156.779
(552.1, 133.2)	|1.5	| 94.3	| 245.937
(213.2, 825.2)	|1.4	| 47.5	| 941.494
(499.2, 110.4)	|3.9	| 20.9	| 294.899
(747.3, 496.4)	|1.8	| 96.8	| 415.466
(913.6, 288.5)	|1.5	| 73.8	| 237.992
(637.2, 658.8)	|3.3	| 60.6	| 596.125
(525.0, 955.3)	|2.9	| 40.4	| 912.136
(178.3, 687.9)	|3.4	| 38.1	| 862.050
(916.5, 933.3)	|4.2	| 63.9	| 858.862
(513.8, 784.2)	|3.1	| 86.0	| 754.362
(948.9, 681.5)	|0.7	| 31.1	| 618.112
(524.0, 172.7)	|2.3	| 25.4	| 283.370
(987.2, 464.1)	|1.6	| 83.9	| 427.461
(964.9, 67.1)	|3.8	| 30.9	| 172.739
(975.6, 880.8)	|0.7	| 67.1	| 818.051
(26.9, 43.8)	|1.2	| 36.2	| 767.037
(775.7, 625.0)	|3.7	| 39.6	| 541.882
(128.5, 165.9)	|4.1	| 92.3	| 669.474
(579.3, 9.7)	|2.2	| 97.0	| 225.911
(296.0, 431.4)	|3.8	| 27.5	| 606.659
(405.5, 765.2)	|2.6	| 17.7	| 784.188
(619.2, 81.9)	|1.6	| 55.9	| 173.690
(495.3, 313.6)	|3.9	| 73.6	| 376.276
(99.3, 100.3)	|1.7	| 88.1	| 693.781
(680.8, 245.6)	|3.3	| 49.7	| 197.218
(36.6, 984.2)	|4.5	| 11.7	| 1176.229
(91.0, 817.7)	|2.1	| 63.2	| 1015.813
(16.7, 88.3)	|3.5	| 20.5	| 776.204
(294.4, 128.8)	|2.6	| 64.2	| 500.590
(385.1, 214.0)	|0.9	| 21.1	| 428.169
(24.2, 754.7)	|3.5	| 39.6	| 1020.577
(734.5, 798.0)	|4.3	| 62.8	| 716.947
(615.7, 20.2)	|4.8	| 95.1	| 188.160
(575.1, 141.2)	|4.6	| 67.5	| 225.344
(985.0, 618.6)	|4.0	| 68.7	| 568.606
(151.6, 772.2)	|3.5	| 44.1	| 941.132
(191.5, 466.4)	|1.7	| 68.2	| 713.023
(114.3, 231.4)	|2.7	| 25.2	| 694.605
(783.5, 585.7)	|1.0	| 23.5	| 502.438
(391.4, 430.0)	|4.0	| 62.2	| 530.414
(797.4, 484.1)	|1.3	| 27.9	| 400.740
(935.3, 818.5)	|3.2	| 88.3	| 748.771
(673.7, 582.8)	|0.9	| 23.8	| 513.435
(975.2, 8.7)	|2.0	| 60.4	| 196.966
(437.3, 7.5)	|2.8	| 95.9	| 363.601
(988.4, 601.2)	|1.7	| 38.3	| 553.456
(671.2, 937.2)	|1.6	| 57.7	| 862.460
(432.9, 994.4)	|1.5	| 16.9	| 979.537
(679.1, 785.8)	|1.4	| 88.6	| 711.617
(25.5, 368.8)	|4.0	| 82.6	| 818.772
(217.2, 796.0)	|1.8	| 33.8	| 916.109
(728.8, 665.1)	|4.2	| 65.4	| 585.234
(322.3, 772.4)	|2.4	| 33.4	| 834.442
(156.4, 559.6)	|1.5	| 84.3	| 794.984
(135.7, 126.0)	|4.4	| 23.7	| 658.596
(67.3, 549.9)	|3.3	| 61.0	| 862.644
(275.3, 790.2)	|3.9	| 92.4	| 876.092
(609.4, 654.2)	|0.7	| 18.1	| 599.567
(692.5, 984.1)	|2.6	| 76.7	| 906.329
(222.8, 665.5)	|5.0	| 39.8	| 814.794
(612.0, 434.4)	|3.5	| 11.8	| 394.874
(445.5, 171.1)	|4.0	| 11.5	| 358.271
(548.2, 862.5)	|3.0	| 67.2	| 816.658
(263.0, 439.5)	|4.8	| 58.5	| 638.430
(121.1, 577.2)	|4.0	| 34.3	| 833.793
(975.2, 218.8)	|1.7	| 94.8	| 227.111
(95.1, 420.5)	|4.5	| 37.5	| 775.002
(859.2, 442.1)	|2.6	| 26.0	| 364.736
(401.3, 945.7)	|1.8	| 69.0	| 947.096
(54.3, 102.2)	|1.7	| 86.3	| 738.883
(932.5, 207.1)	|1.0	| 96.7	| 186.493
(810.7, 378.0)	|2.3	| 27.0	| 295.170
(167.7, 675.3)	|4.2	| 24.7	| 860.943
(497.9, 360.7)	|1.6	| 18.2	| 404.856
(234.6, 86.4)	|2.3	| 59.9	| 558.339
(191.8, 793.4)	|3.0	| 14.6	| 930.334
(416.5, 101.6)	|1.4	| 38.4	| 376.870
(87.9, 25.1)	|2.1	| 80.3	| 707.369
(653.1, 375.6)	|1.5	| 21.0	| 323.912
(534.5, 445.6)	|2.1	| 67.8	| 444.911
(802.3, 874.0)	|0.7	| 35.9	| 790.668
(70.9, 409.6)	|3.2	| 73.7	| 792.304
(535.7, 982.0)	|3.0	| 28.9	| 934.685
(330.2, 761.4)	|2.5	| 61.6	| 820.869
(787.2, 984.2)	|2.1	| 38.9	| 900.816
(161.2, 367.0)	|4.5	| 27.5	| 692.477
(578.1, 275.5)	|2.3	| 15.3	| 288.207
(794.1, 304.4)	|0.6	| 86.6	| 220.981
(892.8, 953.7)	|4.8	| 70.4	| 876.009
(471.9, 614.8)	|4.4	| 14.2	| 620.854
(67.3, 811.4)	|2.8	| 32.2	| 1027.846
(798.9, 386.1)	|3.2	| 67.3	| 302.787
(479.4, 727.3)	|4.3	| 43.8	| 716.147
(343.1, 874.9)	|4.5	| 91.1	| 910.436
(51.7, 364.8)	|1.3	| 43.0	| 792.830
(589.2, 849.1)	|4.1	| 60.4	| 792.339
(779.7, 304.5)	|2.2	| 89.4	| 221.552
(951.6, 140.1)	|0.7	| 74.7	| 168.544
(420.5, 814.1)	|3.2	| 13.5	| 820.140
(743.9, 511.2)	|2.0	| 17.2	| 430.611
(900.8, 888.5)	|2.8	| 13.7	| 812.258
(590.5, 558.6)	|3.6	| 46.4	| 516.469
(787.5, 621.9)	|4.2	| 98.2	| 538.528
(99.0, 372.7)	|2.9	| 84.5	| 751.784
(63.1, 435.0)	|2.9	| 22.2	| 810.033
(552.3, 603.8)	|3.4	| 20.4	| 573.353
(563.9, 576.4)	|2.8	| 34.5	| 543.629
(17.4, 320.3)	|4.3	| 93.6	| 810.900
(832.4, 976.5)	|4.3	| 48.1	| 893.948
(904.5, 78.6)	|0.7	| 10.1	| 111.683
(646.7, 914.2)	|4.3	| 81.1	| 843.539
(169.6, 98.5)	|2.4	| 24.1	| 623.515
(768.3, 125.8)	|3.9	| 98.2	| 49.051
(839.4, 658.8)	|3.6	| 40.1	| 577.247
(935.5, 968.8)	|3.1	| 46.6	| 896.860
(320.9, 413.7)	|1.5	| 49.1	| 576.081
(402.0, 458.9)	|3.4	| 56.1	| 542.041
(317.0, 144.4)	|2.6	| 83.2	| 479.808
(764.6, 224.3)	|4.1	| 62.2	| 143.690
(418.7, 804.1)	|3.8	| 62.6	| 812.076
(998.1, 121.8)	|0.7	| 99.0	| 208.759
(715.1, 206.3)	|2.2	| 35.5	| 145.451
(771.0, 961.4)	|3.8	| 32.3	| 878.250
(948.5, 711.6)	|0.8	| 66.7	| 647.222
(244.3, 642.7)	|4.2	| 99.5	| 783.460
(907.8, 503.1)	|3.7	| 49.8	| 435.129
(147.2, 953.4)	|1.8	| 53.6	| 1083.397
(741.1, 560.9)	|2.9	| 77.8	| 480.341
(128.1, 69.7)	|3.9	| 78.6	| 664.911
(289.7, 982.2)	|2.8	| 74.9	| 1030.097
(575.3, 388.0)	|1.3	| 73.2	| 374.354
(579.6, 59.7)	|3.5	| 60.2	| 214.636
(545.8, 391.8)	|2.8	| 47.7	| 395.156
(811.0, 480.7)	|2.4	| 17.0	| 397.752
(57.1, 572.6)	|1.8	| 23.0	| 883.617
(334.5, 126.2)	|1.1	| 20.7	| 460.404
(441.5, 17.7)	|4.2	| 39.8	| 357.451
(489.7, 663.0)	|2.2	| 16.5	| 654.118
(622.3, 180.3)	|3.7	| 95.6	| 196.224
(231.3, 123.1)	|4.4	| 58.6	| 563.042
(136.2, 374.6)	|3.9	| 15.6	| 718.343
(457.7, 347.5)	|2.3	| 33.2	| 426.752
(522.7, 276.3)	|0.7	| 63.2	| 331.997
(816.1, 828.3)	|4.4	| 35.5	| 745.313
(331.9, 940.9)	|1.1	| 56.7	| 973.536
(486.4, 219.8)	|1.8	| 92.4	| 335.447
(616.8, 667.3)	|3.1	| 65.1	| 609.899
(140.3, 258.8)	|2.6	| 28.0	| 675.725
(400.8, 117.2)	|2.0	| 22.1	| 393.579
(824.5, 543.6)	|0.7	| 32.9	| 461.307
(933.5, 814.9)	|3.8	| 28.7	| 744.847
(314.2, 426.4)	|0.8	| 69.2	| 588.901
(428.8, 701.0)	|3.2	| 31.4	| 716.940
(442.6, 483.0)	|3.9	| 18.9	| 531.387
(480.3, 639.4)	|1.8	| 27.7	| 637.885
(394.5, 467.7)	|1.5	| 32.2	| 553.538
(74.4, 488.3)	|1.2	| 79.9	| 824.755
(692.2, 611.4)	|3.1	| 77.4	| 537.572
(229.8, 299.6)	|1.3	| 73.8	| 603.215
(155.2, 857.2)	|4.9	| 64.5	| 1002.702
(762.2, 349.1)	|1.5	| 82.0	| 267.493
(494.3, 409.5)	|2.4	| 30.4	| 442.219
(494.8, 27.2)	|3.4	| 55.6	| 303.357
(302.8, 33.7)	|1.0	| 98.8	| 492.610
(547.8, 784.1)	|3.5	| 10.5	| 742.371
(900.1, 703.7)	|4.9	| 68.1	| 629.545
(560.3, 719.2)	|4.4	| 99.3	| 676.984
(821.0, 792.6)	|2.2	| 22.6	| 709.764
(494.8, 533.6)	|2.3	| 31.2	| 539.962
(31.8, 752.2)	|0.7	| 64.9	| 1013.238
(182.4, 358.7)	|3.7	| 57.7	| 669.700
(942.8, 179.6)	|1.8	| 11.4	| 178.098
(474.0, 430.2)	|2.2	| 11.9	| 471.102
(130.0, 796.4)	|4.8	| 90.0	| 973.523
(19.8, 411.6)	|4.9	| 95.4	| 839.865
(474.0, 586.8)	|1.3	| 22.2	| 595.932
(793.4, 863.5)	|0.6	| 71.8	| 780.124
(914.9, 681.5)	|0.6	| 70.8	| 610.445
(857.6, 812.6)	|2.7	| 62.2	| 732.030
(442.3, 643.2)	|1.4	| 43.3	| 660.513
(812.9, 265.4)	|0.6	| 93.4	| 183.079
(605.0, 640.3)	|2.5	| 73.2	| 587.741
